seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves,gate_blocked,gate_repaired
1,table_under_pick,96,isSafe,1,1,0.00329873,876,7,8.64683,6,434,0,0.00338192,0.00249477,0,0,0,0,4,2,1.75,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,96,qpFixed,1,1,0.0216513,1924,16,14.0126,1143,1143,0,0.00168635,0.00249477,0,0,0.0111372,0,4,4,4,0,0,0,1,0,0,1924,528907,1436,0,1436
1,table_under_pick,96,qpPlain,1,1,0.0221319,1924,16,14.0126,1143,1143,0,0.00168635,0.00249477,0,0,0.0111372,0,4,4,4,0,0,0,1,0,0,1924,658008,1924,0,1436
1,table_under_pick,96,qpAdaptive,1,1,0.00898195,849,16,14.0355,893,893,0,0.00157233,0.00249477,0,0,0.0253035,0.424028,4,4,4,0,0,0,0.574794,0.41225,0.0129564,849,238539,800,0,800
1,table_under_pick,96,qpFreeGate,1,1,0.040794,6401,59,29.5711,2050,2050,0,0.00786157,0.00249477,0,0,0.0137841,0,281,52,0.209964,0,0,0,1,0,0,6401,1906248,0,312,0
1,table_under_pick,96,qpFreeEnvelope,1,1,0.00608238,478,56,28.0579,1433,1433,0,0.00786157,0.00249477,0,0,0.165398,0.405858,250,47,0.224,0,0,0,0.020202,0.863636,0.116162,478,141943,0,280,0
1,table_under_pick,96,qpEnvelope,1,1,0.00698321,572,16,14.1086,837,837,0,0.000825418,0.00241033,0,0,0.0378119,0.16958,4,4,4,0,0,0,0.828671,0.152098,0.0192308,572,161126,550,0,550
1,table_under_pick,96,VAMP,1,1,3.4544e-05,413,7,8.64683,6,434,0,0.00338192,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,21,isSafe,1,1,0.00406301,1611,10,5.61787,4,282,0,0.00770496,0.00249477,0,0,0,0,19,7,0.526316,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,21,qpFixed,1,1,0.00374201,456,6,6.80836,457,457,0,0.00525696,0.00249477,0,0,0.0149306,0,1,1,6,0,0,0,1,0,0,456,115842,184,0,184
1,bookshelf_small,21,qpPlain,1,1,0.00401024,456,6,6.80836,457,457,0,0.00525696,0.00249477,0,0,0.0149306,0,1,1,6,0,0,0,1,0,0,456,155952,456,0,184
1,bookshelf_small,21,qpAdaptive,1,1,0.00156077,195,6,6.80855,409,409,0,0.00503185,0.00249477,0,0,0.0349157,0.374359,1,1,6,0,0,0,0.620513,0.364103,0.0153846,195,50450,155,0,155
1,bookshelf_small,21,qpFreeGate,1,1,0.0136568,2628,25,10.5645,742,742,0,0.00770496,0.00249477,0,0,0.0141306,0,76,21,0.328947,0,0,0,1,0,0,2628,778986,0,85,0
1,bookshelf_small,21,qpFreeEnvelope,1,1,0.00197007,180,25,9.33617,478,478,0,0.00770496,0.00249477,0,0,0.216752,0.527778,76,22,0.328947,0,0,0,0.0104167,0.84375,0.145833,180,54288,0,84,0
1,bookshelf_small,21,qpEnvelope,1,1,0.000701506,81,6,6.81435,372,372,0,0.00396831,0.00249477,0,0,0.0841278,0.407407,1,1,6,0,0,0,0.592593,0.358025,0.0493827,81,21191,64,0,64
1,bookshelf_small,21,VAMP,1,1,4.849e-05,1362,10,5.61787,4,282,0,0.00770496,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,47,isSafe,1,1,0.00384886,1498,9,13.9776,8,700,0,0.00199296,0.00249477,0,0,0,0,10,4,0.9,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,47,qpFixed,1,1,0.0088545,1042,16,10.1684,790,790,0,0.00199296,0.00249477,0,0,0.013335,0,2,2,8,0,0,0,1,0,0,1042,247511,676,0,676
1,bookshelf_small,47,qpPlain,1,1,0.00940644,1042,16,10.1684,790,790,0,0.00199296,0.00249477,0,0,0.013335,0,2,2,8,0,0,0,1,0,0,1042,356364,1042,0,676
1,bookshelf_small,47,qpAdaptive,1,1,0.00359815,474,14,10.2056,662,662,0,0.00199296,0.00249477,0,0,0.0294102,0.628692,2,2,7,0,0,0,0.367089,0.607595,0.0253165,474,118491,413,0,413
1,bookshelf_small,47,qpFreeGate,1,1,0.0272802,5258,42,14.4445,891,891,0,0.00199296,0.00249477,0,0,0.0136191,0,190,37,0.221053,0,0,0,1,0,0,5258,1556529,0,204,0
1,bookshelf_small,47,qpFreeEnvelope,1,1,0.00137399,121,17,13.832,713,713,0,0.00199296,0.00249477,0,0,0.183673,0.512397,36,12,0.472222,0,0,0,0.21519,0.683544,0.101266,121,34987,0,42,0
1,bookshelf_small,47,qpEnvelope,1,1,0.00140588,150,13,10.2541,570,570,0,0.00199296,0.00249477,0,0,0.0935035,0.88,2,2,6.5,0,0,0,0.106667,0.813333,0.08,150,39024,126,0,126
1,bookshelf_small,47,VAMP,1,1,3.8526e-05,1033,9,13.9776,8,700,0,0.00199296,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,71,isSafe,1,1,0.0294547,11507,54,18.9896,11,951,0,0.00396774,0.00249477,0,0,0,0,275,49,0.196364,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_small,71,qpFixed,1,1,0.00505255,635,7,9.54031,636,636,0,0.00292608,0.00249477,0,0,0.0150241,0,1,1,7,0,0,0,1,0,0,635,171938,194,0,194
1,bookshelf_small,71,qpPlain,1,1,0.00538166,635,7,9.54031,636,636,0,0.00292608,0.00249477,0,0,0.0150241,0,1,1,7,0,0,0,1,0,0,635,217170,635,0,194
